Year,Age Group,Birth Rate
1940,45–49,1.9
1941,45–49,1.7
1942,45–49,1.6
1943,45–49,1.5
1944,45–49,1.4
1945,45–49,1.6
1946,45–49,1.5
1947,45–49,1.4
1948,45–49,1.3
1949,45–49,1.3
1950,45–49,1.2
1951,45–49,1.1
1952,45–49,1.3
1953,45–49,1.0
1954,45–49,1.0
1955,45–49,1.0
1956,45–49,1.0
1957,45–49,1.1
1958,45–49,0.9
1959,45–49,0.9
1960,45–49,0.9
1961,45–49,0.9
1962,45–49,0.9
1963,45–49,0.9
1964,45–49,0.8
1965,45–49,0.8
1966,45–49,0.7
1967,45–49,0.7
1968,45–49,0.6
1969,45–49,0.5
1970,45–49,0.5
1971,45–49,0.4
1972,45–49,0.4
1973,45–49,0.3
1974,45–49,0.3
1975,45–49,0.3
1976,45–49,0.2
1977,45–49,0.2
1978,45–49,0.2
1979,45–49,0.2
1980,45–49,0.2
1981,45–49,0.2
1982,45–49,0.2
1983,45–49,0.2
1984,45–49,0.2
1985,45–49,0.2
1986,45–49,0.2
1987,45–49,0.2
1988,45–49,0.2
1989,45–49,0.2
1990,45–49,0.2
1991,45–49,0.2
1992,45–49,0.3
1993,45–49,0.3
1994,45–49,0.3
1995,45–49,0.3
1996,45–49,0.3
1997,45–49,0.4
1998,45–49,0.4
1999,45–49,0.4
2000,45–49,0.5
2001,45–49,0.5
2002,45–49,0.5
2003,45–49,0.5
2004,45–49,0.5
2005,45–49,0.6
2006,45–49,0.6
2007,45–49,0.6
2008,45–49,0.7
2009,45–49,0.7
2010,45–49,0.7
2011,45–49,0.7
2012,45–49,0.7
2013,45–49,0.8
1940,40–44,15.6
1941,40–44,15.0
1942,40–44,14.7
1943,40–44,15.7
1944,40–44,16.1
1945,40–44,16.6
1946,40–44,16.5
1947,40–44,16.6
1948,40–44,15.7
1949,40–44,15.3
1950,40–44,15.1
1951,40–44,15.4
1952,40–44,15.5
1953,40–44,15.8
1954,40–44,16.2
1955,40–44,16.1
1956,40–44,16.3
1957,40–44,16.3
1958,40–44,15.7
1959,40–44,15.3
1960,40–44,15.5
1961,40–44,15.6
1962,40–44,14.9
1963,40–44,14.2
1964,40–44,13.8
1965,40–44,12.8
1966,40–44,11.7
1967,40–44,10.6
1968,40–44,9.6
1969,40–44,8.8
1970,40–44,8.1
1971,40–44,7.1
1972,40–44,6.2
1973,40–44,5.4
1974,40–44,4.8
1975,40–44,4.6
1976,40–44,4.3
1977,40–44,4.2
1978,40–44,3.9
1979,40–44,3.9
1980,40–44,3.9
1981,40–44,3.8
1982,40–44,3.9
1983,40–44,3.9
1984,40–44,3.9
1985,40–44,4.0
1986,40–44,4.1
1987,40–44,4.4
1988,40–44,4.8
1989,40–44,5.2
1990,40–44,5.5
1991,40–44,5.5
1992,40–44,5.9
1993,40–44,6.1
1994,40–44,6.4
1995,40–44,6.6
1996,40–44,6.8
1997,40–44,7.1
1998,40–44,7.4
1999,40–44,7.4
2000,40–44,8.0
2001,40–44,8.1
2002,40–44,8.3
2003,40–44,8.7
2004,40–44,9.0
2005,40–44,9.1
2006,40–44,9.4
2007,40–44,9.6
2008,40–44,9.9
2009,40–44,10.0
2010,40–44,10.2
2011,40–44,10.3
2012,40–44,10.4
2013,40–44,10.4
1940,35–39,46.3
1941,35–39,46.1
1942,35–39,47.9
1943,35–39,52.8
1944,35–39,54.6
1945,35–39,56.9
1946,35–39,58.7
1947,35–39,58.9
1948,35–39,54.5
1949,35–39,53.5
1950,35–39,52.9
1951,35–39,54.1
1952,35–39,55.8
1953,35–39,56.6
1954,35–39,57.9
1955,35–39,58.7
1956,35–39,59.3
1957,35–39,59.9
1958,35–39,58.3
1959,35–39,57.3
1960,35–39,56.2
1961,35–39,55.6
1962,35–39,52.6
1963,35–39,51.2
1964,35–39,49.9
1965,35–39,46.2
1966,35–39,41.9
1967,35–39,38.3
1968,35–39,35.4
1969,35–39,33.1
1970,35–39,31.7
1971,35–39,28.7
1972,35–39,24.8
1973,35–39,22.1
1974,35–39,20.2
